Category,Kana,Kanji,English,Romaji
Conjunctions,そして,"and then, and, thus, and now",soshite
Conjunctions,それに,besides,soreni
Conjunctions,なぜなら,"that is because, being because",nazenara
Particles,Case,が,"subject marker, but",ga
Particles,Case,で,"at, by",de
Particles,Case,と,"and, with",to
Particles,Case,に,indirect object marker,ni
Particles,Case,の,"possession marker, of",no
Particles,Case,へ,to,e (へ is read as e when a particle),へ
Particles,Case,まで,to,made
Particles,Case,から,from,kara
Particles,Case,より,than,yori
Particles,Case,を,direct object marker,o
Particles,Conjunctive,および,及び,and; as well as,oyobi
Particles,Conjunctive,か,,whether,ka
Particles,Conjunctive,かも,,"might be, possible that",kamo
Particles,Conjunctive,そして,,and then,soshite
Particles,Conjunctive,それとも,,or,soretomo
Particles,Conjunctive,だの,,"things like..., including, such things as",dano
Particles,Conjunctive,つつ,,ongoing occurrence,tsutsu
Particles,Conjunctive,て,,te form of verb or adjective [see explanation],te
Particles,Conjunctive,と,,"if, when, that",to
Particles,Conjunctive,ながら,,"while, though, both",nagara
Particles,Conjunctive,ならびに,,as well as,narabini
Particles,Conjunctive,なり,,whether or not,nari
Particles,Conjunctive,に,,"to , by",ni
Particles,Conjunctive,の,,possession,no
Particles,Conjunctive,ので,,so,node
Particles,Conjunctive,また,又,"also, again",mata
Particles,Conjunctive,または,又は,or alternatively,matawa
Particles,Conjunctive,も,,"also, too",mo
Particles,Conjunctive,や,,and,ya
Particles,Final,ね,equivalent to,ne
Particles,Final,か,question marker,ka
Particles,Final,な,quasi-adjectives,na
Particles,Final,かしら,I wonder,kashira
Particles,Final,さ,-ness,sa
Particles,Final,っけ,is trying to recall some information,-kke
Particles,Adverbial,こそ,emphasis,koso
Particles,Adverbial,さえ,even,sae
Particles,Adverbial,しか,only,shika
Particles,Adverbial,すら,even,sura
Particles,Adverbial,くらい、ぐらい,"approximately, about",kurai
Particles,Adverbial,だけ,"only, as much as",dake
Particles,Adverbial,だって,however,datte
Particles,Adverbial,ったら,casual topic marker,ttara
Particles,Adverbial,って,said that,tte
Particles,Adverbial,でも,"also, or",demo
Particles,Adverbial,どころ,and strongly negates it,dokoro
Particles,Adverbial,など,for example,nado
Particles,Adverbial,なら,[for verbs]; subject marker,なら,[for nouns],nara
Particles,Adverbial,なんか,"casual undervalue, dislike, lack",nanka
Particles,Adverbial,なんて,"casual undervalue, dislike, lack",nante
Particles,Adverbial,は,topic marker,wa (pronunciation),は
Particles,Adverbial,ばかり、ばっかり,"just, full of, only",bakari
Particles,Adverbial,まで,until,made
Particles,Adverbial,も,"too, also",mo
